NISCode	sum_ParcelsNumber	avg_PriceP25	avg_PriceP50	avg_PriceP75	avg_ParcelsAreaP50	average_price_m2
11002A11-	36	358500	450000	563000	52	8653.84615384615
11002A12-						
11002A13-	26	245000	482000	580000	74.5	6469.79865771812
11002A14-	1				194	
11002A15-	16	216114.525	387500	465000	50.25	7711.44278606965
11002A21-	19	399900	466917.5	850000	66	7074.50757575758
11002A22-	14	525000	912500	1330000	69	13224.6376811594
11002B701	16	340000	400000	425000	233	1716.73819742489
11002B71-	23	389000	434500	730000	321.25	1352.52918287938
11002B721	50	315000	340000	385000	156	2179.48717948718
11002B73-						
11002B742	21	460000	515000	555000	320.75	1605.61184723305
11002B752						
11002B782						
11002B791	5	682370	905020	997650	808	1120.07425742574
