NISCode	sum_ParcelsNumber	avg_PriceP25	avg_PriceP50	avg_PriceP75	avg_ParcelsAreaP50	average_price_m2
12025A810	1				403	
12025A82-	1				870	
12025A830						
12025A84-						
12025A88-						
12025A899	2				660	
12025A912	4				135.5	
12025A921	10	250000	389000	450000	508.75	764.619164619165
12025A932	1				71	
12025A942						
12025A952	1				241	
12025B000	5				279	
12025B01-						
12025B020						
12025B032						
12025B042						
12025B081						
12025B091						
12025C00-	2				305	
12025C01-	1					
12025C022						
12025C091	1				729	
12025D00-	1				210	
12025D012	1					
12025D091	1				182	
12025E001	2				304	
12025E012						
12025E080						
12025E0PN						
12025F00-	6	253500	293750	390750	256.5	1145.22417153996
12025F01-						
12025F02-						
12025F032						
12025F041						
12025F052						
12025F091						
12025F102						
12025F191						
12025F200						
12025F290						
12025F312						
12025F391						
12026A00-	6	241000	305000	377500	197	1548.22335025381
12026A01-	5				347.75	
12026A02-	2				906	
12026A040	4				650	
12026A05-	1				1358	
12026A09-						
12026A0PN						
12026A111	3				1121	
12026A122						
12026B00-	1				155	
12026B01-	1				2140	
12026B09-						
12026C000	6	330000	335000	525000	395.5	847.029077117573
12026C012	1				1699	
12026C080	1				2591	
12026C091						
12026C10-	3				287	
12026C112						
12026C123						
12026C191	1				709	
12029A00-	6	216737	285868.5	355000	117.5	2432.92340425532
12029A01-						
12029A020	2				2956.5	
12029A03-						
12029A042						
12029A083						
12029A091						
12029A10-	1				1220	
12029A19-	1				1025	
12029A20-						
12029A21-						
12029A22-						
12029A292						
12029A2AW						
12029A2PW						
12029A393						
12029B000	4				675.5	
12029B01-						
12029B020	1				1065	
12029B082						
12029B091						
12029B19-						
12030A000	8	197500	205000	295000	165	1242.42424242424
12030A01-						
12030A020						
12030A032						
12030A083						
12030A091						
12030A100	2				490	
12030A110	1				525	
12030A12-	1				700	
12030A132						
12030A143						
12030A164						
12030A175						
12030A186	2				1366	
12030A191						
12030A212						
12030A291						
12030A310						
12030B000						
12030B081						
12030B0AA						
12030B0MA						
12030B0PA						
12030B101						
12030B112	1				588	
12030B192						
12030B210	1				245	
12030B272						
12030C000	1				554	
12030C020						
12030C044						
12030C091						
12030D000	1				112	
12030D012						
12030D063						
12030D080						
12030D091						
12034A00-	5	160000	249500	339000	244	1022.54098360656
12034A01-	1				162	
12034A02-	2				216	
12034A03-						
12034A04-						
12034A08-						
12034A091	1				17698	
12034A112						
12034A123						
12034B00-	3				550	
12034B010						
12034B02-						
12034B032	1					
12034B091						
12034C000	3				860.75	
12034C01-						
12034C022						
12034C091	2				1806.5	
12035A001	9	341000	350000	800000	665.5	525.920360631104
12035A011						
12035A022						
12035A032						
12035A042						
12035A072	3				2976.5	
12035A081						
12035A091	1				3782	
12035A101	3				265	
12035A110	1				2607	
12035A123						
12035A200	3				622.75	
12035A211						
12035A222						
12035A233						
12035A244						
12035A282						
12035A291						
12035B00-	2				176	
12035B01-						
12035B02-						
12035B032						
12035B0AA	2				1190.5	
12035B0PA						
12035B191						
12040A00-	6	249500	332500	377500	160	2078.125
12040A01-	10	230000	330000	355000	312.5	1056
12040A04-	2				550	
12040A071						
12040A0MA	2				3987	
12040A0PA						
12040A10-						
12040A21-						
12040A221						
12040A23-	1				982	
12040A243	1				160	
12040A294						
12040A311						
12040A320						
12040A332	2				4298	
12040A372						
12040A411	5				379	
12040A422	1				321	
12040A433						
12040A512	3				1319	
12040B000						
12040B090	1				639	
12040C000	4				190	
12040C010						
12040C02-						
12040C090						
12040D00-	2				262	
12040D011	2				270.5	
12040D022						
12040D072						
12040D091						
12040D0MA						
12040D0PA						
12040D11-						
12040D192						
13001A00-	8	200000	229000	675000	500.25	457.771114442779
13001A01-						
13001A02-						
13001A03-						
13001A04-	1				240	
13001A072	1				2013	
13001A091						
13001A0MA						
13001A0PA	2				6305.5	
13001A100						
13001A19-						
13001A212						
13001A221	1				717	
13001A230	1				268	
13001A3MJ	1				4584	
13002A000	4				520	
13002A012	2				125	
13002A023						
13002A091	2				2715	
13002A10-	1				2930	
13002A19-						
13003A00-	10	131860	292500	358000	767.5	381.107491856678
13003A011						
13003A02-	1				165	
13003A03-						
13003A04-	2				631	
13003A05-	2				281.5	
13003A08-						
13003A091						
13003A101	2				583.5	
13003A1MJ						
13003A20-						
13003A29-						
13003A38-						
13003A39-	3				905.75	
13003A401	4				1006	
13003A412						
13003A483						
13003A500						
13003A51-						
13003A590	1				2923	
13003A612	1				1370	
13003A692						
13003A701	4				609	
13003A711	1				311	
13003A782						
13003A7MA						
13003A7PA						
13003B000	2				598	
13003B01-						
13003B02-	1				1625	
13003B030	2				3035	
13003B052						
13003B08-						
13003B091						
13004A001	4				342.5	
13004A010						
13004A021	1				900	
13004A032						
13004A043	2				542.5	
13004A080						
13004A0MA	3				7278	
13004A0PA						
13004A101	2				457	
