bron;jaar_indiening;gemeente;handeling;gebouw_functie;metriek;waarde
vergunningen_omgevingsloket_2026;2019;;-;-;Aantal wooneenheden;0.0
vergunningen_omgevingsloket_2026;2019;;-;-;Nuttige woonoppervlakte;0.0
vergunningen_omgevingsloket_2026;2019;;-;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_omgevingsloket_2026;2019;;-;-;Bovengronds grond oppervlakte;0.0
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;Totalen;Aantal projecten;1.0
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;Totalen;Aantal gebouwen;1.0
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;Totalen;Aantal wooneenheden;0.0
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;Totalen;Bovengronds nuttige oppervlakte;36.0
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;Totalen;Bovengronds grond oppervlakte;36.0
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;-;Aantal projecten;1.0
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;-;Aantal gebouwen;1.0
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;-;Aantal wooneenheden;0.0
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;-;Nuttige woonoppervlakte;0.0
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;-;Bovengronds nuttige oppervlakte;36.0
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;-;Bovengronds grond oppervlakte;36.0
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;andere;Aantal projecten;
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;andere;Aantal gebouwen;
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;andere;Aantal wooneenheden;
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;andere;Nuttige woonoppervlakte;
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;andere;Bovengronds nuttige oppervlakte;
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;andere;Bovengronds grond oppervlakte;
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;eengezinswoning;Aantal projecten;
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;eengezinswoning;Aantal gebouwen;
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;eengezinswoning;Aantal wooneenheden;
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;eengezinswoning;Nuttige woonoppervlakte;
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;eengezinswoning;Bovengronds nuttige oppervlakte;
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;eengezinswoning;Bovengronds grond oppervlakte;
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;kamerwoning;Aantal projecten;
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;kamerwoning;Aantal gebouwen;
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;kamerwoning;Aantal wooneenheden;
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;kamerwoning;Nuttige woonoppervlakte;
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;kamerwoning;Bovengronds nuttige oppervlakte;
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;kamerwoning;Bovengronds grond oppervlakte;
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;meergezinswoning;Aantal projecten;
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;meergezinswoning;Aantal gebouwen;
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;meergezinswoning;Aantal wooneenheden;
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;meergezinswoning;Nuttige woonoppervlakte;
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;meergezinswoning;Bovengronds nuttige oppervlakte;
vergunningen_omgevingsloket_2026;2019;;Nieuwbouw;meergezinswoning;Bovengronds grond oppervlakte;
vergunningen_omgevingsloket_2026;2019;;Sloop;Totalen;Aantal projecten;
vergunningen_omgevingsloket_2026;2019;;Sloop;Totalen;Aantal gebouwen;
vergunningen_omgevingsloket_2026;2019;;Sloop;Totalen;Aantal wooneenheden;
vergunningen_omgevingsloket_2026;2019;;Sloop;Totalen;Nuttige woonoppervlakte;
vergunningen_omgevingsloket_2026;2019;;Sloop;Totalen;Bovengronds nuttige oppervlakte;
vergunningen_omgevingsloket_2026;2019;;Sloop;Totalen;Bovengronds grond oppervlakte;
vergunningen_omgevingsloket_2026;2019;;Sloop;-;Aantal projecten;
vergunningen_omgevingsloket_2026;2019;;Sloop;-;Aantal gebouwen;
vergunningen_omgevingsloket_2026;2019;;Sloop;-;Aantal wooneenheden;
vergunningen_omgevingsloket_2026;2019;;Sloop;-;Nuttige woonoppervlakte;
vergunningen_omgevingsloket_2026;2019;;Sloop;-;Bovengronds nuttige oppervlakte;
vergunningen_omgevingsloket_2026;2019;;Sloop;-;Bovengronds grond oppervlakte;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;Totalen;Aantal projecten;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;Totalen;Aantal gebouwen;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;Totalen;Aantal wooneenheden;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;Totalen;Nuttige woonoppervlakte;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;Totalen;Bovengronds nuttige oppervlakte;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;Totalen;Bovengronds grond oppervlakte;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;-;Aantal projecten;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;-;Aantal gebouwen;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;-;Aantal wooneenheden;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;-;Nuttige woonoppervlakte;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;-;Bovengronds nuttige oppervlakte;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;-;Bovengronds grond oppervlakte;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;andere;Aantal projecten;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;andere;Aantal gebouwen;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;andere;Aantal wooneenheden;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;andere;Nuttige woonoppervlakte;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;andere;Bovengronds nuttige oppervlakte;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;andere;Bovengronds grond oppervlakte;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;eengezins- en kamerwoning;Aantal projecten;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;eengezins- en kamerwoning;Aantal gebouwen;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;eengezins- en kamerwoning;Aantal wooneenheden;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;eengezins- en kamerwoning;Nuttige woonoppervlakte;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;eengezins- en kamerwoning;Bovengronds nuttige oppervlakte;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;eengezins- en kamerwoning;Bovengronds grond oppervlakte;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;eengezinswoning;Aantal projecten;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;eengezinswoning;Aantal gebouwen;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;eengezinswoning;Aantal wooneenheden;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;eengezinswoning;Nuttige woonoppervlakte;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;eengezinswoning;Bovengronds nuttige oppervlakte;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;eengezinswoning;Bovengronds grond oppervlakte;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;kamerwoning;Aantal projecten;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;kamerwoning;Aantal gebouwen;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;kamerwoning;Aantal wooneenheden;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;kamerwoning;Nuttige woonoppervlakte;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;kamerwoning;Bovengronds nuttige oppervlakte;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;kamerwoning;Bovengronds grond oppervlakte;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;meergezinswoning;Aantal projecten;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;meergezinswoning;Aantal gebouwen;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;meergezinswoning;Aantal wooneenheden;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;meergezinswoning;Nuttige woonoppervlakte;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;meergezinswoning;Bovengronds nuttige oppervlakte;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;meergezinswoning;Bovengronds grond oppervlakte;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;wonen;Aantal projecten;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;wonen;Aantal gebouwen;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;wonen;Aantal wooneenheden;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;wonen;Nuttige woonoppervlakte;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;wonen;Bovengronds nuttige oppervlakte;
vergunningen_omgevingsloket_2026;2019;;Verbouwen of hergebruik;wonen;Bovengronds grond oppervlakte;
vergunningen_omgevingsloket_2026;2020;;Totalen;;Aantal projecten;936.0
vergunningen_omgevingsloket_2026;2020;;Totalen;;Aantal gebouwen;963.0
vergunningen_omgevingsloket_2026;2020;;Totalen;;Aantal wooneenheden;1109.0
vergunningen_omgevingsloket_2026;2020;;Totalen;;Nuttige woonoppervlakte;246274.17
vergunningen_omgevingsloket_2026;2020;;Totalen;;Bovengronds nuttige oppervlakte;388082.41
vergunningen_omgevingsloket_2026;2020;;Totalen;;Bovengronds grond oppervlakte;264621.3
vergunningen_omgevingsloket_2026;2020;;-;Totalen;Aantal projecten;299.0
vergunningen_omgevingsloket_2026;2020;;-;Totalen;Aantal gebouwen;0.0
vergunningen_omgevingsloket_2026;2020;;-;Totalen;Aantal wooneenheden;0.0
vergunningen_omgevingsloket_2026;2020;;-;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_omgevingsloket_2026;2020;;-;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_omgevingsloket_2026;2020;;-;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_omgevingsloket_2026;2020;;-;-;Aantal projecten;299.0
vergunningen_omgevingsloket_2026;2020;;-;-;Aantal gebouwen;0.0
vergunningen_omgevingsloket_2026;2020;;-;-;Aantal wooneenheden;0.0
vergunningen_omgevingsloket_2026;2020;;-;-;Nuttige woonoppervlakte;0.0
vergunningen_omgevingsloket_2026;2020;;-;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_omgevingsloket_2026;2020;;-;-;Bovengronds grond oppervlakte;0.0
vergunningen_omgevingsloket_2026;2020;;Nieuwbouw;Totalen;Aantal projecten;287.0
vergunningen_omgevingsloket_2026;2020;;Nieuwbouw;Totalen;Aantal gebouwen;408.0
vergunningen_omgevingsloket_2026;2020;;Nieuwbouw;Totalen;Aantal wooneenheden;745.0
vergunningen_omgevingsloket_2026;2020;;Nieuwbouw;Totalen;Nuttige woonoppervlakte;100163.29
vergunningen_omgevingsloket_2026;2020;;Nieuwbouw;Totalen;Bovengronds nuttige oppervlakte;222112.83
vergunningen_omgevingsloket_2026;2020;;Nieuwbouw;Totalen;Bovengronds grond oppervlakte;123919.06
vergunningen_omgevingsloket_2026;2020;;Nieuwbouw;-;Aantal projecten;10.0
vergunningen_omgevingsloket_2026;2020;;Nieuwbouw;-;Aantal gebouwen;15.0
vergunningen_omgevingsloket_2026;2020;;Nieuwbouw;-;Aantal wooneenheden;0.0
vergunningen_omgevingsloket_2026;2020;;Nieuwbouw;-;Nuttige woonoppervlakte;0.0
vergunningen_omgevingsloket_2026;2020;;Nieuwbouw;-;Bovengronds nuttige oppervlakte;30599.9
vergunningen_omgevingsloket_2026;2020;;Nieuwbouw;-;Bovengronds grond oppervlakte;18688.2
vergunningen_omgevingsloket_2026;2020;;Nieuwbouw;andere;Aantal projecten;45.0
vergunningen_omgevingsloket_2026;2020;;Nieuwbouw;andere;Aantal gebouwen;66.0
vergunningen_omgevingsloket_2026;2020;;Nieuwbouw;andere;Aantal wooneenheden;162.0
vergunningen_omgevingsloket_2026;2020;;Nieuwbouw;andere;Nuttige woonoppervlakte;18579.53
vergunningen_omgevingsloket_2026;2020;;Nieuwbouw;andere;Bovengronds nuttige oppervlakte;102756.45
vergunningen_omgevingsloket_2026;2020;;Nieuwbouw;andere;Bovengronds grond oppervlakte;57234.02
vergunningen_omgevingsloket_2026;2020;;Nieuwbouw;eengezinswoning;Aantal projecten;209.0
vergunningen_omgevingsloket_2026;2020;;Nieuwbouw;eengezinswoning;Aantal gebouwen;279.0
vergunningen_omgevingsloket_2026;2020;;Nieuwbouw;eengezinswoning;Aantal wooneenheden;279.0
vergunningen_omgevingsloket_2026;2020;;Nieuwbouw;eengezinswoning;Nuttige woonoppervlakte;55138.08
