naam;jaar;zone;aantal
aantal_ernstig_gehinderden_zonder_isolatie;2031;B;1055.7540366031571
aantal_ernstig_gehinderden_zonder_isolatie;2031;C;8528.685599668539
aantal_ernstig_gehinderden_zonder_isolatie;2031;D;19002.577843295632
aantal_ernstig_gehinderden_zonder_isolatie;2031;E;71282.07251388115
aantal_ernstig_gehinderden_zonder_isolatie;2031;F;82167.82438583806
aantal_ernstig_gehinderden_zonder_isolatie;2031;Totaal;182077.84235736929
bewoonde_geïsoleerde_woning_brussel;2026;A;0.0
bewoonde_geïsoleerde_woning_brussel;2026;B;0.0
bewoonde_geïsoleerde_woning_brussel;2026;C;390.5625639258594
bewoonde_geïsoleerde_woning_brussel;2026;D;1804.977806248591
bewoonde_geïsoleerde_woning_brussel;2026;E;15774.968344875333
bewoonde_geïsoleerde_woning_brussel;2026;F;41123.521787987964
bewoonde_geïsoleerde_woning_brussel;2026;Totaal;59094.03050303775
bewoonde_geïsoleerde_woning_brussel;2027;A;0.0
bewoonde_geïsoleerde_woning_brussel;2027;B;0.0
bewoonde_geïsoleerde_woning_brussel;2027;C;401.37021510044156
bewoonde_geïsoleerde_woning_brussel;2027;D;1854.9251701528801
bewoonde_geïsoleerde_woning_brussel;2027;E;16211.493426664405
bewoonde_geïsoleerde_woning_brussel;2027;F;42261.49229414039
bewoonde_geïsoleerde_woning_brussel;2027;Totaal;60729.28110605812
bewoonde_geïsoleerde_woning_brussel;2028;A;0.0
bewoonde_geïsoleerde_woning_brussel;2028;B;0.0
bewoonde_geïsoleerde_woning_brussel;2028;C;412.18003796891486
bewoonde_geïsoleerde_woning_brussel;2028;D;1904.882570501104
bewoonde_geïsoleerde_woning_brussel;2028;E;16648.10622398373
bewoonde_geïsoleerde_woning_brussel;2028;F;43399.69146455636
bewoonde_geïsoleerde_woning_brussel;2028;Totaal;62364.860297010106
bewoonde_geïsoleerde_woning_brussel;2029;A;0.0
bewoonde_geïsoleerde_woning_brussel;2029;B;0.0
bewoonde_geïsoleerde_woning_brussel;2029;C;422.99367925386167
bewoonde_geïsoleerde_woning_brussel;2029;D;1954.8576175918117
bewoonde_geïsoleerde_woning_brussel;2029;E;17084.873248575608
bewoonde_geïsoleerde_woning_brussel;2029;F;44538.29268767158
bewoonde_geïsoleerde_woning_brussel;2029;Totaal;64001.01723309286
bewoonde_geïsoleerde_woning_brussel;2030;A;0.0
bewoonde_geïsoleerde_woning_brussel;2030;B;0.0
bewoonde_geïsoleerde_woning_brussel;2030;C;433.8127772109708
bewoonde_geïsoleerde_woning_brussel;2030;D;2004.8578825939603
bewoonde_geïsoleerde_woning_brussel;2030;E;17521.86067020136
bewoonde_geïsoleerde_woning_brussel;2030;F;45677.4684604167
bewoonde_geïsoleerde_woning_brussel;2030;Totaal;65637.99979042298
bewoonde_geïsoleerde_woning_brussel;2031;A;0.0
