bron;jaar_indiening;gemeente;handeling;gebouw_functie;metriek;waarde
vergunningen_verkaveling_2026;2021;Aarschot;Sloop;-;Aantal projecten;
vergunningen_verkaveling_2026;2021;Aarschot;Sloop;-;Aantal gebouwen;
vergunningen_verkaveling_2026;2021;Aarschot;Sloop;-;Aantal wooneenheden;
vergunningen_verkaveling_2026;2021;Aarschot;Sloop;-;Nuttige woonoppervlakte;
vergunningen_verkaveling_2026;2021;Aarschot;Sloop;-;Bovengronds nuttige oppervlakte;
vergunningen_verkaveling_2026;2021;Aarschot;Sloop;-;Bovengronds grond oppervlakte;
vergunningen_verkaveling_2026;2021;Asse;Totalen;;Aantal projecten;3.0
vergunningen_verkaveling_2026;2021;Asse;Totalen;;Aantal gebouwen;4.0
vergunningen_verkaveling_2026;2021;Asse;Totalen;;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Asse;Totalen;;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Asse;Totalen;;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Asse;Totalen;;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Asse;-;Totalen;Aantal projecten;2.0
vergunningen_verkaveling_2026;2021;Asse;-;Totalen;Aantal gebouwen;0.0
vergunningen_verkaveling_2026;2021;Asse;-;Totalen;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Asse;-;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Asse;-;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Asse;-;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Asse;-;-;Aantal projecten;2.0
vergunningen_verkaveling_2026;2021;Asse;-;-;Aantal gebouwen;0.0
vergunningen_verkaveling_2026;2021;Asse;-;-;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Asse;-;-;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Asse;-;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Asse;-;-;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Asse;Sloop;Totalen;Aantal projecten;1.0
vergunningen_verkaveling_2026;2021;Asse;Sloop;Totalen;Aantal gebouwen;4.0
vergunningen_verkaveling_2026;2021;Asse;Sloop;Totalen;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Asse;Sloop;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Asse;Sloop;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Asse;Sloop;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Asse;Sloop;-;Aantal projecten;1.0
vergunningen_verkaveling_2026;2021;Asse;Sloop;-;Aantal gebouwen;4.0
vergunningen_verkaveling_2026;2021;Asse;Sloop;-;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Asse;Sloop;-;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Asse;Sloop;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Asse;Sloop;-;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Begijnendijk;Totalen;;Aantal projecten;2.0
vergunningen_verkaveling_2026;2021;Begijnendijk;Totalen;;Aantal gebouwen;1.0
vergunningen_verkaveling_2026;2021;Begijnendijk;Totalen;;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Begijnendijk;Totalen;;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Begijnendijk;Totalen;;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Begijnendijk;Totalen;;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Begijnendijk;-;Totalen;Aantal projecten;1.0
vergunningen_verkaveling_2026;2021;Begijnendijk;-;Totalen;Aantal gebouwen;0.0
vergunningen_verkaveling_2026;2021;Begijnendijk;-;Totalen;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Begijnendijk;-;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Begijnendijk;-;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Begijnendijk;-;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Begijnendijk;-;-;Aantal projecten;1.0
vergunningen_verkaveling_2026;2021;Begijnendijk;-;-;Aantal gebouwen;0.0
vergunningen_verkaveling_2026;2021;Begijnendijk;-;-;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Begijnendijk;-;-;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Begijnendijk;-;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Begijnendijk;-;-;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Begijnendijk;Sloop;Totalen;Aantal projecten;1.0
vergunningen_verkaveling_2026;2021;Begijnendijk;Sloop;Totalen;Aantal gebouwen;1.0
vergunningen_verkaveling_2026;2021;Begijnendijk;Sloop;Totalen;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Begijnendijk;Sloop;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Begijnendijk;Sloop;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Begijnendijk;Sloop;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Begijnendijk;Sloop;-;Aantal projecten;1.0
vergunningen_verkaveling_2026;2021;Begijnendijk;Sloop;-;Aantal gebouwen;1.0
vergunningen_verkaveling_2026;2021;Begijnendijk;Sloop;-;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Begijnendijk;Sloop;-;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Begijnendijk;Sloop;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Begijnendijk;Sloop;-;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Bertem;Totalen;;Aantal projecten;1.0
vergunningen_verkaveling_2026;2021;Bertem;Totalen;;Aantal gebouwen;0.0
vergunningen_verkaveling_2026;2021;Bertem;Totalen;;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Bertem;Totalen;;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Bertem;Totalen;;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Bertem;Totalen;;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Bertem;-;Totalen;Aantal projecten;1.0
vergunningen_verkaveling_2026;2021;Bertem;-;Totalen;Aantal gebouwen;0.0
vergunningen_verkaveling_2026;2021;Bertem;-;Totalen;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Bertem;-;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Bertem;-;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Bertem;-;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Bertem;-;-;Aantal projecten;1.0
vergunningen_verkaveling_2026;2021;Bertem;-;-;Aantal gebouwen;0.0
vergunningen_verkaveling_2026;2021;Bertem;-;-;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Bertem;-;-;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Bertem;-;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Bertem;-;-;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Bertem;Sloop;Totalen;Aantal projecten;
vergunningen_verkaveling_2026;2021;Bertem;Sloop;Totalen;Aantal gebouwen;
vergunningen_verkaveling_2026;2021;Bertem;Sloop;Totalen;Aantal wooneenheden;
vergunningen_verkaveling_2026;2021;Bertem;Sloop;Totalen;Nuttige woonoppervlakte;
vergunningen_verkaveling_2026;2021;Bertem;Sloop;Totalen;Bovengronds nuttige oppervlakte;
vergunningen_verkaveling_2026;2021;Bertem;Sloop;Totalen;Bovengronds grond oppervlakte;
vergunningen_verkaveling_2026;2021;Bertem;Sloop;-;Aantal projecten;
vergunningen_verkaveling_2026;2021;Bertem;Sloop;-;Aantal gebouwen;
vergunningen_verkaveling_2026;2021;Bertem;Sloop;-;Aantal wooneenheden;
vergunningen_verkaveling_2026;2021;Bertem;Sloop;-;Nuttige woonoppervlakte;
vergunningen_verkaveling_2026;2021;Bertem;Sloop;-;Bovengronds nuttige oppervlakte;
vergunningen_verkaveling_2026;2021;Bertem;Sloop;-;Bovengronds grond oppervlakte;
vergunningen_verkaveling_2026;2021;Bonheiden;Totalen;;Aantal projecten;2.0
vergunningen_verkaveling_2026;2021;Bonheiden;Totalen;;Aantal gebouwen;2.0
vergunningen_verkaveling_2026;2021;Bonheiden;Totalen;;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Bonheiden;Totalen;;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Bonheiden;Totalen;;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Bonheiden;Totalen;;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Bonheiden;-;Totalen;Aantal projecten;1.0
vergunningen_verkaveling_2026;2021;Bonheiden;-;Totalen;Aantal gebouwen;0.0
vergunningen_verkaveling_2026;2021;Bonheiden;-;Totalen;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Bonheiden;-;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Bonheiden;-;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Bonheiden;-;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Bonheiden;-;-;Aantal projecten;1.0
vergunningen_verkaveling_2026;2021;Bonheiden;-;-;Aantal gebouwen;0.0
vergunningen_verkaveling_2026;2021;Bonheiden;-;-;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Bonheiden;-;-;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Bonheiden;-;-;Bovengronds nuttige oppervlakte;0.0
