id_inter_ss_lden;surface intersection between statistical sectors and lden noise contour;Surface of the polygone in lnight 45;Percentage of the surface of the polygone in lnight 45;Surface of the polygone in NA70;Percentage of the surface of the polygone in NA70
664;67863,9132;0;0;0;0
665;95841,00679;0;0;0;0
666;142632,4818;0;0;0;0
667;107104,5889;0;0;0;0
668;79884,90308;0;0;0;0
669;49238,50708;0;0;0;0
670;8614,011973;0;0;0;0
671;77565,30777;0;0;0;0
672;167078,4585;0;0;0;0
673;84547,82548;0;0;0;0
674;27743,01148;0;0;0;0
675;70906,00053;0;0;0;0
676;108901,399;0;0;0;0
677;14957,9162;0;0;0;0
678;45818,1042;0;0;0;0
679;48193,22963;0;0;0;0
680;135911,0584;0;0;0;0
681;43904,31562;0;0;0;0
682;38438,35528;0;0;0;0
683;86776,3757;0;0;0;0
684;37725,76916;0;0;0;0
685;65129,76798;0;0;0;0
686;200156,5729;0;0;0;0
687;47344,91829;0;0;0;0
688;33523,3962;0;0;0;0
689;1336,740422;0;0;0;0
690;54962,49225;0;0;0;0
691;96801,35606;0;0;0;0
692;2643,349517;0;0;0;0
693;37577,20867;0;0;0;0
694;54406,73088;0;0;0;0
695;56110,26279;0;0;0;0
696;26059,95594;0;0;0;0
697;55824,44337;0;0;0;0
698;95217,65553;0;0;0;0
699;760,9058335;0;0;0;0
700;56479,36802;0;0;0;0
701;158389,9682;0;0;0;0
702;49691,65262;0;0;0;0
703;38511,0259;0;0;0;0
704;2773,544752;0;0;0;0
705;19678,4426;0;0;0;0
706;16787,87683;0;0;0;0
707;3234,67071;0;0;0;0
708;29025,61042;0;0;0;0
709;1577,579054;0;0;0;0
710;31676,8247;0;0;0;0
711;7588,967002;0;0;0;0
712;6200,868974;0;0;0;0
713;56580,95105;0;0;0;0
714;1139,530057;0;0;0;0
715;22264,45502;0;0;0;0
716;7791,833399;0;0;0;0
717;32363,42098;0;0;0;0
718;67839,99062;0;0;0;0
719;86,61186535;0;0;0;0
720;91505,78553;0;0;0;0
721;24404,66625;0;0;0;0
722;68218,64083;0;0;0;0
723;196396,2616;0;0;0;0
724;2048,120533;0;0;0;0
725;85674,9528;0;0;0;0
726;83620,0832;0;0;0;0
727;8565,299851;0;0;0;0
728;22464,57317;0;0;0;0
729;121609,6381;0;0;0;0
730;50781,10771;0;0;0;0
731;65103,5848;0;0;0;0
732;102897,1558;0;0;0;0
733;4936,275019;0;0;0;0
734;2907,126346;0;0;0;0
735;50580,53188;0;0;0;0
736;61227,7993;0;0;0;0
737;78374,00488;0;0;0;0
738;49435,08125;0;0;0;0
739;49683,07832;0;0;0;0
740;9,767989673;0;0;0;0
741;125840,154;14035,9706;11,15;0;0
742;6138,777009;6138,777009;100;0;0
743;24480,41619;0;0;0;0
744;128214,1074;0;0;0;0
745;14765,88674;0;0;0;0
746;127921,4162;0;0;0;0
747;1392,236309;0;0;0;0
748;42694,68961;33186,59498;77,73;0;0
749;46281,19723;46281,19723;100;0;0
750;11624,93165;0;0;0;0
751;95586,19396;0;0;0;0
752;7,725357078;0;0;0;0
753;120985,742;0;0;0;0
754;135742,5754;19525,70074;14,38;0;0
755;85372,03229;8445,589398;9,89;0;0
756;112,3428922;112,3428922;100;0;0
757;57199,43829;0;0;0;0
758;88377,61707;37394,39196;42,31;0;0
759;23479,71201;0;0;0;0
760;48144,40852;0;0;0;0
761;126780,3425;0;0;0;0
762;9237,031331;0;0;0;0
763;76921,22815;0;0;0;0
764;4644,385908;0;0;0;0
765;73593,88387;0;0;0;0
766;93310,14121;0;0;0;0
767;3083,763865;0;0;0;0
768;92025,41451;0;0;0;0
769;47331,68442;0;0;0;0
770;62379,45204;0;0;0;0
771;103036,2974;0;0;0;0
772;34207,19166;0;0;0;0
773;69848,96219;0;0;0;0
774;110,5383483;0;0;0;0
775;23400,33181;0;0;0;0
776;59183,45483;0;0;0;0
777;93,86905352;0;0;0;0
778;47253,29949;0;0;0;0
779;64376,61571;0;0;0;0
780;882,6915523;0;0;0;0
781;108440,1405;0;0;0;0
782;53418,1802;0;0;0;0
783;104265,0089;0;0;0;0
784;177638,064;0;0;0;0
785;90464,23559;0;0;0;0
786;9891,516573;0;0;0;0
787;1575,921065;0;0;0;0
788;78428,00132;0;0;0;0
789;92871,05176;0;0;0;0
790;164646,571;0;0;0;0
791;3099,411208;0;0;0;0
792;23417,83116;0;0;0;0
793;56135,12538;0;0;0;0
794;9373,084398;0;0;0;0
795;29336,94218;0;0;0;0
796;168679,1538;0;0;0;0
797;143235,4061;0;0;0;0
798;11730,21554;0;0;0;0
799;6196,180093;0;0;0;0
800;41825,05655;0;0;0;0
801;12341,534;0;0;0;0
